Number,Project Name,Links,Description,Host/Recipient Country/ies,Provider Country/ies,Regions Involved,Entity/ies Supporting and/or Implementing,Is the private sector involved?,Does it involve LDCs?,UNDP as Implementor,UNDP as Donor,Start year,End year,Thematic Areas,Primary SDG Contribution,Secondary SDG Contribution
227,UNDP Africa Sustainable Finance Hub (ASFH)'s support to SSTC,https://www.sparkblue.org/content/deep-dive-undp-africa-sustainable-finance-hub,"Several online inter-regional South-South events (symposium, workshops, etc.) were organized by ASFH in 2020 with the participation of about 40 African countries. They served as SSC platforms for peer-learning and exchanging ideas and good practices on enhancing domestic revenue mobilization, boosting remittances, and strengthening SSC institutionalization for African countries in the COVID-19 context and beyond. Examples included: the regional taxation symposium Enhancing Domestic Revenue Mobilization for Sustainable Development in Africa-Dialogue on Taxation, Social Contract and Post COVID-19 Recovery Strategy; and a regional south-south workshop on remittances in 2020: Boosting remittances in the current COVID-19 context and beyond. ",,,Africa,UNDP,,,,,2020,,Governance,SDG17,SDG3
230,Africa INFF and Open Budgets Workshop ,https://inff.org/event/integrated-national-financing-frameworks-and-open-budgets-for-sustainable-development-in-africa-2022,"The objectives of the project included strengthening the capabilities of government officials, UN staff, and other stakeholders in areas such as SDGs Financing Dialogues, Financing Strategies, and budget openness. It also aims to promote knowledge-sharing among countries, facilitating discussions on lessons learned and best practices. Additionally, the project sought to generate a regional dialogue to address emerging trends and issues that impact the implementation of Integrated National Financing Frameworks (INFFs) and open budget reforms. During the session, representatives from Botswana, Burkina Faso, Guinea, Comoros, Nigeria, Malawi, Tanzania, Gabon, Mozambique, Zimbabwe Eswatini, Rwanda, Mauritius, Ghana, Sierra Leone, Kenya, Gambia, Cote d'Ivoire, Benin, Uganda, Zimbabwe shared national experience and progress with other participant countries. ","BWA,BFA,GIN,COM,NGA,MWI,TZA,GAB,MOZ,ZWE,SWZ,RWA,MUS,GHA,SLE,KEN,GMB,CIV,BEN,UGA","BWA,BFA,GIN,COM,NGA,MWI,TZA,GAB,MOZ,ZWE,SWZ,RWA,MUS,GHA,SLE,KEN,GMB,CIV,BEN,UGA",Africa,"ECA,UNDP,UNDESA,UNICEF,and the International Budget Partnership,Government of Botswana,Burkina Faso,Guinea,Comoros,Nigeria,Malawi,Tanzania,Gabon,Mozambique,Zimbabwe Eswatini,Rwanda,Mauritius,Ghana,Sierra Leone,Kenya,Gambia,Cote d'Ivoire,Benin,Uganda,Zimbabwe",YES,YES,YES,,2022,2022,"Governance,Poverty and Inequality",SDG16,"SDG1,SDG17"
234,Transfer of Knowledge and the Establishment of Vocational Training Centre in Northern Bosnia Project,https://www.undp.org/policy-centre/istanbul/news/private-sector-boosting-skills-development-northern-bosnia-and-herzegovina,"Transfer of Knowledge and the Establishment of Vocational Training Centre. Description of activities related to the case story topic: In cooperation with BUTGEM (The Bursa Design and Technology Development Center), which operates under the roof of the Bursa Chamber of Commerce and Industry, 12 workers and 5 instructers from Bosnia received vocational training in Bursa in specific programs of work of computer numerical control (CNC) machines and were able to transfer and use the acquired skills and experience in their country. With the project, which was started by a relatively small TKA fund (apprx. 104,000 USD), a school building in Gradaac that was destroyed by heavy shellings during the war was transformed into a vocational school with the aim of create a BUTGEM-model vocational training center. During the successful implementation the Project fund reached to over 550,000 USD with more funding from UNDP Bosnia, Gradaac Municipality and business partners. The Center is expected to give training to around 200 workers a year and its sustainability is ensured by the engagement of private sector and other local stakeholders.",BIH,TUR,Europe,"Turkey,United Nations Development Programme (UNDP),Bosnia and Herzegovina,IICPSD,Bursa Design and Technology Development Center",YES,,YES,YES,2019,,Governance,SDG4,"SDG16,SDG17"
238,Regional community of practice of the Clima East Pilot Projects,https://www.undp.org/eurasia/publications/climaeast-shifting-ground,"Clima East is an EU-funded project that supports Eastern Partnership countries and Russia in addressing climate change. The project focuses on ecosystem-based approaches, policy development, and regional cooperation. It includes pilot projects for climate change mitigation and adaptation, as well as efforts to improve climate change policies and access to EU expertise. The project involves Armenia, Azerbaijan, Belarus, Georgia, Moldova, Russia, and Ukraine. UNDP, the Global Environment Facility, and regional partners are also involved in complementary activities.","ARM,AZE,BLR,GEO,MDA,RUS,UKR",,Europe,"Armenia,Azerbaijan,Belarus,Georgia,Republic of Moldova,Russian Federation,Ukraine,United Nations Development Programme (UNDP),Egypt,Tunisian NGO Nadi Al Bassar,Turkish NGO Humanitarian Relief Foundation,Prevention of Blindness Union of Saudi Arabia ",,,YES,,2013,,Environment,SDG13,SDG17
239,Improving the climate resilience of Kazakhstan's wheat and enhancing a regional dialogue on Central Asian food security,https://www.undp.org/kazakhstan/press-releases/improving-climate-resiliency-kazakh-wheat-and-central-asian-food-security,"The Central Asian Republics, including Kazakhstan, Tajikistan, Kyrgyzstan, and Uzbekistan, face challenges related to their fragile natural resource base, and regional tensions hindering cooperation. Food security in the region is vulnerable due to a heavy reliance on wheat production, especially in Kazakhstan, which is a major exporter. The Central Asian countries heavily import Kazakh wheat, with spikes in food prices contributing to food insecurity. However, Kazakhstan's wheat sector is susceptible to climate change, posing a threat to regional food security. To address these issues, UNDP Kazakhstan implemented a project called ""Improving the Climate Resiliency of Kazakhstan Wheat and Central Asian Food Security"" with support from a $1 million grant from USAID. The project aimed to facilitate adaptation in Kazakhstan's wheat sector and stimulate a regional dialogue on climate change challenges and food security in Central Asia. The grant had three main components: Improved Information for Climate-Resilient, Mainstreaming Climate Resilience into Wheat Production in Kazakhstan, Regional Dialogue on Wheat, Climate Change and Regional Food Security.","KAZ,TJK,KGZ,UZB",USA,"Asia Pacific,North America","Kazakhstan,countries in Central Asia,United States World Bank,United Nations Development Programme(UNDP),Kazakhstan Association of Organic Farming,KazNexInvest,JSC ""Kazagromarketing"" ",,,YES,,2012,2015,"Environment,Resilience",SDG13,"SDG2,SDG17"
240,Improving the quality of Moldovan democracy through parliamentary and electoral support,https://erc.undp.org/evaluation/evaluations/detail/6723?tab=documents,"To exchange experiences from Lithuania, Estonia, Armenia, Georgia, Poland and the Czech Republic with a view to improving the electoral system in Moldova",MDA,"LTU,EST,ARM,GEO,POL,CZE",Europe,"Lithuania,Estonia,Armenia,Georgia,Poland,Czech Republic,United Nations Development Programme (UNDP),Tallin University of Technology,Ragnar Nurkse School of Innovation and Governance (Estonia)",,,YES,,2015,2016,Governance,SDG16,SDG17
242,South-South and Triangular Cooperation of Small and Medium-sized Enterprises (SME) Development in Asia project,https://www.undp.org/malaysia/publications/south-south-and-triangular-cooperation-sme-development-asia,"To support the strengthening of SME policy formulation and institutional reform as well as institutional support for training, technological exchanges and market access in the LDCs and other countries in the region through South-South cooperation. Through the meterials provided in the link, there are a series of activities and presentations related to SME (Small and Medium Enterprises) development in different countries. These activities involve representatives from various organizations and chambers of commerce sharing their knowledge and experiences. Topics covered include SME development in Vietnam, Malaysia, Bhutan, Pakistan, the Philippines, Mongolia, Indonesia, and Bangladesh. Additionally, there is a focus on the role of chambers of commerce in supporting SMEs and the use of social media for outreach.","VNM,MYS,BTN,PAK,PHL,MNG,IDN,BGD","JPN,VNM,MYS,BTN,PAK,PHL,MNG,IDN,BGD",Asia Pacific,"UNOSSC,Japan,United Nations Development Programme(UNDP) Malaysia Office Over 20 countries in Asia including LDCs",,YES,YES,,2011,2014,Poverty and Inequality,SDG1,SDG17
246,Archipelagic and Island States (AIS) Forum,https://www.undp.org/indonesia/press-releases/ais-forum-nations-eye-stronger-collaboration-blue-economy,"This project aims to establish the Archipelagic and Island States (AIS) ForumSupport Facility (AISF-SF), to ensure its ability to operate effectively, and enable effective implementation of its key services. The governments of 21 archipelagic and island states (AIS) participating countries  agreed to step up commitments and action to avert the imminent danger of climate crisis by strengthening collaboration in blue economy. Since its first establishment in 2018 through Manado Declaration, AIS' development has been exceptional. One of its programs, Blue Start-up Innovation Hub, a platform that connects entrepreneurs across AIS States, has provided capacity building for over 1,500 people in MSMEs sectors. Moreover, AIS Forum has also provided more than USD 100,000 worth of scholarships and research grants to address common challenges of archipelagic and island states.","IDN,CPV,CUB,CYP,FJI,GNB,JAM,JPN,MLT,MDG,PNG,PHL,KNA,STP,SYC,SGP,LKA,SUR,TLS,TON,GBR",,"Asia Pacific,LAC,Africa,Europe","Indonesia,Republic of Cabo Verde,Republic of Cuba,Republic of Cyprus,Republic of Fiji,Republic of Guinea Bissau,Jamaica,State of Japan,Republic of Malta,Democratic Republic of Madagascar,Independent State of Papua New Guinea,Republic of the Philippines,Federation of Saint Christopher and Nevis,Democratic Republic of Sao Tome and Principe,Republic of Seychelles,Republic of Singapore,Democratic Socialist Republic of Sri Lanka,Republic of Suriname,Democratic Republic of Timor Leste,Kingdom of Tonga,United Kingdom of Great Britain and Northern Ireland,UNDP",,YES,YES,,2019,2021,Environment,SDG14,SDG17
247,"Training Program on Municipal Enterprises for Local Authorities (MELA)  in Ecuador, Albania, Azerbaijan and other countries","https://www.undp.org/policy-centre/istanbul/press-releases/training-program-municipal-enterprises-local-authorities-mela-was-conducted-online-local-authorities-ecuador,https://www.undp.org/policy-centre/istanbul/news/training-program-municipal-enterprises-local-authorities-mela-was-conducted-online-albanian-local-authorities,https://www.undp.org/policy-centre/istanbul/news/training-program-municipal-enterprises-local-authorities-mela-was-conducted-online-azerbaijan-local-authorities","UNDPICPSD offers the Training Program on Municipal Enterprises for Local Authorities Ahead to Achieving the UN 2030 Agenda(MELA). UNDP has collaborated with the organization United Cities and Local Governments partnership for a comprehensive training program focused on ensuring sustainability, resilience, and inclusion in basic municipal service delivery. In partnership with UNDP Ecuador, UCLG-MEWA in Ecuador, over 80 local government representatives from Ecuador participated. The MELA training began regionally in Turkey and Palestine, expanding globally with editions in Azerbaijan and Albania, in collaboration with UCLG sections. Aiming to leverage the SSTC and maximize its impact on sustainable development, IICPSD will continue its effort to raise awareness on the role of private sector for inclusive urbanization by conducting its MELA training program for the local authorities in the Global South.","ECU,PLE,AZE,ALB",TUR,"LAC,MENA,Europe","UNDP Istanbul International Center for Private Sector in Development (IICPSD),UNDP Ecuador,UCLG-MEWA,Association of Municipalitites of Ecuador,Eurasian section of UCLG,European section of UCLG.",YES,,YES,,2022,,"Governance,Resilience",SDG11,"SDG16,SDG17"
249,African South-South and Triangular Cooperation Responses to COVID-19 and Beyond,https://www.sparkblue.org/sites/default/files/2023-05/UNDP%20SSC%20Report%2050-final.pdf,"UNDP's SDG Finance Hub in Africa, in collaboration with UNOSSC, has produced a report titled ""African South-South and Triangular Cooperation Responses to COVID-19 and Beyond."" The report showcases how African countries have developed coordinated and collaborative responses to COVID-19 and beyond through South-South and Triangular Cooperation (SSCTC) for sustainable development. The report focuses on the utilization of SSC and TrC to facilitate a COVID-19 response and how these approaches can contribute to strengthening COVID-19 recovery efforts in the future. It targets a wide range of African stakeholders and aims to generate momentum in the use of SSC/TrC, while fostering knowledge exchange on innovative solutions. By highlighting ongoing initiatives, the report seeks to promote the scaling up of national experiences at the regional and global levels. Additionally, it highlights the ways in which UNDP can provide support to these endeavors.",,,Africa,"UNDP,African States",,,,,2022,2022,Governance,SDG17,SDG3
250,"Training of Trainers Webinar Imparts Technical Knowledge for Localizing Koreas Clean Portal in Mongolia, Kosovo and Uzbekistan",https://www.undp.org/policy-centre/seoul/news/training-trainers-webinar-imparts-technical-knowledge-localizing-koreas-clean-portal-mongolia-kosovo-and-uzbekistan,"USPC hosted a three-day 'Training of Trainers' webinar with the Korean Anti-Corruption & Civil Rights Commission (ACRC) and UNDP Country Offices in three countries to share ACRC's digital corruption & public interest violations reporting system called 'Clean Portal.'. It was organised by ACRC and UNDP Country Offices (COs) of Mongolia, Kosovo and Uzbekistan. The Clean Portal is an innovative digital platform developed and operated by ACRC for reporting corruption and public interest violations. It serves as a one-stop anti-corruption platform for 1,042 public organizations in Korea, providing an effective tracking and monitoring system, in addition to information on rewards and protection provided to whistleblowers, and anti-corruption policies. The webinar series concluded with a commitment to future SSTC and appreciation for collaborative engagement. It signifies potential for ongoing knowledge exchange and mutual learning.","MNG,KVX,UZB",KOR,"Asia Pacific,Europe","Republic of Korea Anti-Corruption & Civil Rights Commission(ACRC) and UNDP Country Offices(COs) of Mongolia,Kosovo and Uzbekistan,UNDP Seoul Policy Center",,,YES,,2023,2023,Governance,SDG16,SDG17
251,Brazils South-South Cooperation Project on Strengthening the Integrated Use of Hydric Resources in LAC and the Community of Portuguese-speaking Countries ,"https://my.southsouth-galaxy.org/en/solutions/detail/brazils-south-south-cooperation-project-on-strengthening-the-integrated-use-of-hydric-resources-in-latin-america-and-the-caribbean-and-the-community-of-portuguese-speaking-countries,https://www.gob.mx/amexcid/prensa/concluye-proyecto-de-cooperacion-en-materia-de-gestion-de-la-informacion-de-recursos-hidricos-mexico-brasil?idiom=es","The project aimed to promote sustainable water management practices in the region through the sharing of knowledge and technology.There was a project focused on sharing Brazilian experiences with the Project for Northeastern Region Subterranean Waters to adapt technologies (obtained from Canada) to access, purify and manage the subterranean water resources for the Northeastern semiarid region with Caribbean partners. The aim was to assist countries such as Barbados and Dominica to structure monitoring networks and learn from Brazil. The project helped to structure the national systems of water management in Argentina and Mexico, modernize the hydrometeorological networks of Uruguay, and improve the river basin analysis and monitoring in Cuba. The project also gave rise to capacity-building programmes in Argentina, the Plurinational State of Bolivia, Colombia and Ecuador, to name a few, focusing either on public policy implementation or on development of human resources.Finally, it produced a documentary entitled National Hydrometeorologic Networkwith professionals, researchers and technicians from (National Water Agency) ANA and partner organizations to share good practices and solutions in water management, serving as a knowledge product for capacity-building in other realities.","ARG,MEX,URY,CUB,BRB,DMA,BOL,COL,ECU,AGO,CPV,GNB,GNQ,MOZ,PRT,STP,TLS","BRA,CAN","Africa,LAC,North America","UNDP,UNESCO and Government of Brazil,Government of Brazil,ANA(Brazil) and ABC ",,,,,2014,2021,Environment,SDG2,"SDG6,SDG7,SDG17"
252,Sharing of Experience on Planning and Budgeting Between the Government of the Republic of Indonesia and the Government of the Republic of the Union of Myanmar,https://www.oecd.org/dac/triangular-cooperation/GPI-Report-Triangular-Co-op-in-the-Era-of-the-2030-Agenda.pdf,"To facilitate sharing of experiences between Indonesia and Myanmar, in particular on planning and budgeting and to provide the opportunity for participants to exchange ideas, information and experiences among themselves. The training is conducted under the Framework of SSC of the Indonesia in cooperation with Norway, which converts it into a triangular cooperation initiative, and UNDP Indonesia. The project arose from the demand of the Government of Myanmar to exchange experiences on the issues of planning, budgeting, economic development, and fiscal decentralisation. The training was organized from 25 to 31 October 2015 in Jakarta and Yogyakarta for 21 officials, (80% women), from MyanmarMin of National Planning and Economic Development, Min of Education, Min of Finance, and Min of Social Welfare and Disaster Relief and Resettlement. In order to evaluate Sharing of Experience on Planning and Budgeting Bappenas held a course to identify relevance, effectiveness and efficiency of sharing of experiences. The result of evaluation will be used as a feedback for next cooperation.","IDN,MMR",NOR,"Europe,Asia Pacific","Indonesia,Myanmar,Norway,UNDP",,YES,,,2015,2015,Governance,SDG16,SDG17
258,South-South Cooperation between Pacific and Caribbean SIDS on Climate Change Adaptation and Disaster Risk Management project,https://info.undp.org/docs/pdc/Documents/PSC/00048493_South%20South%20Cooperation%20Pro%20Doc%202010-2012.pdf,"The program aims to consolidate linkages among small island states facing common risks and draw on the experiences and cooperation of both South-South and North-South partners to strengthen resilience and address climate-related challenges. The SSC Unit at UNDP Bangkok Regional Centre provides technical assistance and develops knowledge products to support the program and offers guidance on community-based disaster risk reduction and climate change adaptation. The Japanese government assists SIDS, particularly in enhancing climate change adaptation. While the initial focus is on consolidating exchanges between the Pacific and the Caribbean, other SIDS such as the Maldives and Mauritius are included, as they can contribute valuable insights based on their shared concerns and risks. These countries will be encouraged to participate in virtual discussions to enrich the program's outcomes. In addition to SSC, the program will leverage relevant expertise and lessons. Synergies will be sought with Japan as a triangular partner, given its recognition of the project's value and its own experience as an island state facing similar hazards. Japan can provide insights into community-oriented disaster awareness materials, community resilience building, and traditional coping practices. Australia and New Zealand, with their extensive involvement in climate change science and disaster risk management in the Pacific, can also contribute to the program. The program will specifically seek to link with the Cool Earth Partnership promoted by Japan, which covers the Maldives as well as the following countries in the Caribbean and the Pacific: Guyana, Haiti, Suriname, Belize, and Dominican Republic in the Caribbean; and Cook Islands, Fiji, Kiribati, Marshall Islands, Micronesia, Nauru, Niue, Palau, Papua New Guinea, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu in the Pacific. ","GUY,HTI,SUR,BLZ,DOM,COK,FJI,KIR,MHL,FSM,NRU,NIU,PLW,PNG,WSM,SLB,TON,TUV,VUT",JPN,"Asia Pacific,LAC","UNOSSC,Japan,Australia,New Zealand,UNDP,Pacific Centre,SIDS in the Pacific and Caribbean regions,CARICOM Climate Change Centre(CCCCC),the Secretariat of the Pacific Regional Environment Programme(SPREP),the Caribbean Disaster Emergency Management Agency(CDEMA),the Pacific Islands' Applied Geoscience Commission(SOPAC),the Secretariat for the Pacific Community(SPC),the University of the West Indies (UWI),and the University of the South Pacific(USP)",,,YES,,2010,2012,"Environment,Resilience",SDG13,SDG17
260,Promoting the COVID-19 Response and Public Services Capacity in Balochistan of Pakistan for Accelerating SDGs Delivery - Phase I,https://www.undp.org/sites/g/files/zskgke326/files/2023-04/Balochistan%20SDGs%20Accelerated%20Delivery_Project%20Brief_2023.pdf,"The project is funded by Global Development and South-South Cooperation Fund (GDF). With an overall goal to reduce poverty and inequality in Balochistan province in Pakistan, the project aims to improve public service facilities, enhance the capacity of local governments on epidemic disease prevention and control, promote inclusive economic, social and political development for enhancing stabilization and social cohesion, through developing public services solution, improving public services facilities and the public services capacity of the local government.",PAK,CHN,Asia Pacific,"UNDP Pakistan,UNDP China,The Planning and Development Department in the Government of Balochistan,The Institute for Sustainable Development Goals of Tsinghua University,Chinese National Academy of Governance",YES,,YES,,2022,2023,Poverty and Inequality,SDG3,"SDG1,SDG4"
262,China-UNDP Triangular and South-South Cooperation Project on Strengthening PPE-related Manufacturing Capacities in Pakistan,,"The Project aims to work closely with the Government to set up Common Facility Centres where Small and Medium Entreprises are looking to diversify their products and scale-up production of highly demanded Personal Protective Equipment (PPE) to sell in the local market and potentially export can gain access to training, modern machinery including transfer of technology from China. Not will this increase access to affordable PPE in the local market, but this project will provide employment to local people.",PAK,CHN,Asia Pacific,"UNDP Pakistan,UNDP China",YES,,YES,,2022,2023,"Poverty and Inequality,Governance",SDG1,SDG8
266,Energy efficient cook stove technology exchange: United Republic of Tanzania and Kenya,https://www.thegef.org/sites/default/files/publications/SGP-South-South%26Cooperation-Digital.pdf,"In 2014, with support from the Small Grants Programme, the International Collaborative for Science, Education, and the Environment (ICSEE) created a project called The Maasai Stoves Project.The project aims to improve Maasai indoor air quality by supporting the manufacturing of clean-burning and efficient stoves. In July 2014, a group of Maasai women from Kenya visited their relatives in Tanzania and discovered improved cook stoves that were more efficient and environmentally friendly. Impressed, they approached ICSEE, an NGO, to help them adopt the new model in Kenya. With support from SGP, ICSEE organized an exchange in June 2015, where Tanzanian Maasai women and NGO facilitators went to Kenya to demonstrate stove installation and train the Kenyan Maasai women in stove construction and maintenance.",KEN,TZA,Africa,"UNDP,GEF SGP",,,YES,YES,2014,2014,"Poverty and Inequality,Energy",SDG1,"SDG3,SDG5,SDG8,SDG12,SDG15"
269,"Preventing desertification by using renewable and energy efficient technologies: Chile, El Salvador, Honduras and Uruguay",https://www.thegef.org/sites/default/files/publications/SGP-South-South%29Cooperation-Digital.pdf,"The Small Grants Programme in Chile has collaborated with local communities and grantees for 18 years to develop climate change technologies. These include energy-efficient stoves, solar ovens, solar dryers, and various types of ovens. Traditional recipes have also been adapted to work with these technologies, focusing on improving nutritional value and community health. In 2013, SGP Chile initiated a South-South cooperation project with El Salvador to combat land degradation through energy-efficient and renewable technologies. Funding was sought from UNDP Chile, and a cooperation exchange was facilitated in coordination with Canelo Corporation from Chile. In June and July 2015, the NGO El Canelo from Chile, along with professionals from the UNDP-EU programme, conducted training in Uruguay to teach three communities how to construct renewable technologies such as energy-efficient cook stoves (magic pots), solar ovens, and dryers. The exchange was supported by SGP GEF UNDP El Salvador and Uruguay, and the activities were documented by the Uruguayan NGO CEUTA through videos and manuals for further dissemination. Similar exchanges between Chile, El Salvador, and Uruguay have taken place to combat desertification and promote sustainable technologies. SGP Honduras expressed interest in adopting the technologies used by SGP El Salvador, building upon their longstanding cooperation. To facilitate this, 31 women from the El Venado community were selected by SGP Honduras and received training from technicians representing El Canelo NGO, the Chilean Government, and the National Coordinator of SGP El Salvador.The exchanges were funded by the Chilean Fund and involved multiple communities and organizations. This initiative is carried out within the framework of the Chile Fund project with civil society organizations. It is part of the Poverty and Inclusive Development portfolio rodrigo.herrera@undp.org","SLV,HND,URY",CHL,"LAC,Europe","UNDP,GEF SGP,Chile Fund",,,YES,YES,2013,2014,"Environment,Energy",SDG13,"SDG1,SDG3,SDG7,SDG8,SDG9,SDG12,SDG14,SDG15"
270,UNDP's Suppport to Emerging Donors,"https://sdgfinance.undp.org/sites/default/files/Guidelines%20for%20Building%20National%20SSC%20and%20TrC%20Strategies_0.pdf,https://www.eurasia.undp.org/content/rbec/en/home/library/Partnerships/undp-support-to-oda-management-systems.html","Over the past 15 years, the UNDP's Regional Center in Europe and Central Asia has a portfolio of programmatic engagement with strategic donor partners in RBEC region, including the Russian Federation, Czech Republic, Slovakia, Turkey, Poland, Romania, Serbia, and Montenegro to strengthen their official development assistance (ODA) systems. This includes training national ODA experts, implementing impactful projects, and providing assistance to emerging donors in developing tailored ODA legal, institutional, and strategic frameworks. Notable achievements include the approval of new ODA laws in Romania and Kazakhstan, as well as the establishment of development cooperation agencies like RoAid in Romania and SlovakAid in the Slovak Republic. UNDP continues to support development cooperation agencies in enhancing their internal regulatory frameworks, including ODA financial and implementation guidelines, as well as Results-Based Management (RBM) manuals and toolkits. These partnerships aim to test and implement various forms and modalities of South-South and triangular cooperation (SSTC), leveraging UNDP's field presence and network of partners. Cooperation with country offices serves as a conduit to connect with UNDP's partners, Accelerator Labs, and various implementation modalities for triangular cooperation in areas such as public finance, innovation, and digital transformation.","CZE,SVK,ROU,RUS,TUR,SRB,MNE,KAZ","RUS,CZE,SVK,TUR,POL",Europe,"UNDP,the Government of the Czech Republic,Slovakia,Romania,the Russian Federation,Turkey,Serbia,Montenegro,Poland",,,YES,,2004,2019,Governance,SDG17,"SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16"
271,First African South-South Cooperation Report in 2019,https://www.undp.org/sites/g/files/zskgke326/files/migration/africa/UNDP-Africa-SSC-Report-2019-EN.pdf,"UNDPRegional Project on South-South Cooperation in Africa developed mechanisms for reporting on SSTC, and together with NEPAD/AUC (African Union Development Agency-NEPAD) launched the first African South-South Cooperation Report in 2019. This report, inspired by the experience from the Ibero-American Programme to Strengthen South-South Cooperation (Programa Iberoamericano para el Fortalecimiento de la Cooperacin Sur-Sur PIFCSS) and the Islamic Development Bank, provides information and data on Africanmajor development cooperation activities. The report also contributed to establishing the system of SSC focal points within various ministries in several countries in Africa, which was an important step towards strengthening the regional institutional framework for SSC.",,"AZE,CHL,DNK,DEU,IDN.JPN,NOR,PSE,PRT,ZAF,TUN","Africa,LAC,Asia Pacific,Europe","UNDP,State Agency for Public Service and Social Innovations under the President of the Republic of Azerbaijan,the Chilean Agency for International Cooperation for Development (AGCID),the Royal Danish Embassy in Japan,the German Development Agency (GIZ),the Executive Office of the President of Republic of Indonesia (KSP),the Japan Cooperation Agency (JICA),the Norwegian Agency for Exchange Cooperation (NOREC); Palestinian Cooperation Agency (PICA); the Portuguese Instituto Camoes; the Department of Science and Technology of the Republic of South Africa; and the Tunisian Agency of Technical Cooperation",,,,,2019,2019,Governance,SDG17,"SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16"
325,USPCs Sustainable Forestry Portfolio,https://www.undp.org/policy-centre/seoul,"USPCSDG Partnerships provide partner countries with peer-to-peer knowledge exchange opportunities and country-level implementation support for innovative means to achieve their SDG-related challenges, based on Korean development know-how in the following thematic areas: Governance and Gender, Green Recovery and Transition, Development Cooperation, Private Sector Engagement. USPCSDG Partnerships on Sustainable Forestry: Since the launch of USPCforestry portfolio in 2018 under Thematic Area 2, the partnership establishes connections between Korea and the GPN network while leveraging Korea's technical expertise in reforestation and sustainable forest management. Additionally, seed funding plays a catalytic role in mobilizing resources through various channels to enhance the impact of initiatives. TrC is achieved by sharing ROKknowledge in sustainable forestry with partner countries. Community Forestry initiatives: Cambodia, Myanmar, and Zambia. Forest fire prevention and management: Ghana and Namibia. SSC will be achieved by ensuring partner countries pass acquired knowledge to other partner countries, leading to a multiplier effect. USPC is currently engaging to deepen collaboration with SSTC experts of the SDG Integration Team and the UN Office for South-South Cooperation. ","KHM,IDN,NAM,PHL,ZMB,GHA,MNG,MMR,TJK","KOR,KHM,IDN,NAM,PHL,ZMB,GHA,MNG,MMR,TJK","Asia Pacific,Africa","UNDP,UNSPC,Korean Counterparts: National Institute of Forest Science(NIFoS),Korea University(KU),New Counterparts: Asian Forest Cooperation Organization(AFoCO),Korea Forest Service(KFS)",YES,YES,YES,YES,,,"Governance,Environment,Resilience,Poverty and Inequality,Gender Equality",SDG15,"SDG13,SDG14,SDG15,SDG16,SDG17,SDG1,SDG5"
326,Green LAC Awards initiative,https://www.un-page.org/,"The Partnership for Action on Green Economy (PAGE) has grown into a prominent alliance of five UN agencies, 8 funding partners, and 22 partner countries that work together to transform economies into drivers of sustainability by supporting nations and regions in reframing economic policies and practices around sustainability. Premios Verdes fosters startups that aim to protect the planet and secure a sustainable future while promoting a greater consciousness regarding the protection of nature valuable assets.The Green Awards, known as ""Premios Verdes"" in Spanish (PV), is an annual event that showcases, trains, connects, and rewards the best social and environmental projects presented from across the region and, as of last year, even beyond the region. It is aslo a Platform to promote high-level dialogues on the green economy in the region. Alongside, PV represents a genuine laboratory of innovation, creating an environment where year after year financial actors such as accelerators, private, public and development banking are matched with the top 500 sustainability projects selected by PV's technical jury. This entrepreneurial environment generates mutual investment opportunities such as sustainable ventures that will create more green jobs for the region.Ten years promoting the creativity and potential of Latin America with 20,819 projects, 53 countries, and 1895 cities' involvement. 70% of the participating projects come from the private sector. ","HND,NIC,PRI,DOM,CRI,GTM,MEX,PRY,PAN,URY,BRA,BOL,VEN,CHL,PER,ARG,ECU,COL,GNQ,SEN,IND,NPL,PYF,THA","USA,HND,NIC,PRI,DOM,CRI,GTM,MEX,PRY,PAN,URY,BRA,BOL,VEN,CHL,PER,ARG,ECU,COL,CHE,ESP,GNQ,SEN,IND,NPL,PYF,THA","LAC,Africa,Asia Pacific,Europe,North America","UNDP,UNEP,ILO,UNIDO,UNITAR",YES,YES,YES,,2013,,"Governance,Environment,Resilience",SDG15,"SDG16,SDG17"
327,New Kuwait Partnership for Stabilization through Solid Management in Lebanon,https://www.undp.org/lebanon/projects/stabilisation-through-solid-waste-management-project-lebanon,"This initiative aims to address the critical issue of uncontrolled dumpsites that pose significant public health risks to both local communities and Syrian refugees. Through this project, it planned to construct essential sanitary landfills and integrate solar PV systems into the new solid waste facilities. As a result, approximately 130,000 registered Syrian refugees will directly benefit from improved waste management practices. Moreover, the solar interventions are expected to reduce a substantial 310 tons of CO2 emissions annually, contributing to a greener and more sustainable environment. Additionally, these solar initiatives are projected to generate an impressive 421 MWh of electricity each year, further advancing Lebanon's efforts towards renewable energy adoption and fostering a cleaner future for all.",LBN,KWT,"MENA,Asia","UNDP,Government of Yemen,Kuwait",YES,,YES,,2021,,Energy,SDG3,"SDG13,SDG8,SDG17"
